IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY,,,
367,1718,ILHA DE SANTA MARIA,2111,VITORIA,16,ES,"464,7048",0,35,24,"4096,7",,,
368,1671,MORADA DA BARRA,2107,VILA VELHA,16,ES,"2572,23172","87,8",51,101,"16602,57",,,
370,384,JARDIM ATLANTICO,2091,SERRA,16,ES,"57026,0802","3920,57",50,661,"195519,51",,,
371,18794,COMUNIDADE URBANA DE PALMEIRAS,1947,GUARAPARI,16,ES,"7577,5232",0,1350,35,"9505,22",,,
372,1631,JABURUNA,2107,VILA VELHA,16,ES,"17616,44782","14292,2",258,90,"51022,4",,,
373,1,CENTRO,831,LAJEDAO,6,BA,"5706,446",0,1563,11,"6167,73",,,
376,1,CENTRO,998,PRADO,6,BA,"889,416",0,1856,4,"5994,28",,,
377,319,TRANCOSO,994,PORTO SEGURO,6,BA,"104033,253","2239,52",5,388,"250904,03",,,
378,319,TRANCOSO,994,PORTO SEGURO,6,BA,"183,712",0,1884,2,"829,1",,,
380,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"120,55",0,1920,2,378,,,
382,1632,DIVINO ESPIRITO STO ,2107,VILA VELHA,16,ES,"7617,0062","580,37",383,169,"63442,99",,,
383,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"21584,214","505,32",5,321,"196760,59",,,
384,653,CASTELINHO,2098,VARGEM ALTA,16,ES,"74923,56679","5520,93",7,409,"187115,95",,,
385,18771,CAXIAS DO SUL,2101,VIANA,16,ES,"9078,5",0,547,147,"56802,98",,,
387,1510,FEU ROSA,2091,SERRA,16,ES,"232433,3512","23575,61",1,3209,"1452372,76",,,
388,18845,LOT RESID MARACANA  ,1912,CARIACICA,16,ES,"6892,2732","2062,37",14,143,"72571,66",,,
390,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"33,12",0,1867,2,"274,56",,,
392,1533,DAS LARANJEIRAS,2091,SERRA,16,ES,"964,5408",0,112,60,"10329,65",,,
394,182,SANTO ANTONIO,2111,VITORIA,16,ES,"18402,33545","3353,6",99,155,"44030,73",,,
395,470,NSA SRA DA PENHA,2107,VILA VELHA,16,ES,"58004,5781","813,3",8,437,"579238,76",,,
396,352,SANTA MONICA,2107,VILA VELHA,16,ES,"358,77",0,1266,22,"2820,28",,,
397,1503,CIVIT I,2091,SERRA,16,ES,"1484,2649",0,16,79,"15214,31",,,
398,45,NOVO HORIZONTE,2091,SERRA,16,ES,"24335,03224","285,36",6,354,"103508,24",,,
399,1464,CARAPINA,2091,SERRA,16,ES,"9832,908","4063,59",393,184,"90804,63",,,
401,1697,MATA DA PRAIA,2111,VITORIA,16,ES,"3160,01193",0,140,42,"5513,71",,,
402,1,CENTRO,1982,JAGUARE,16,ES,"4679,3115","3722,85",70,91,"43368,5",,,
403,1435,INTERLAGOS,1991,LINHARES,16,ES,"53961,97792","346,87",6,219,"131603,03",,,
404,1,CENTRO,2007,MUNIZ FREIRE,16,ES,"2699,2254",0,797,20,"5572,28",,,
405,1618,CRISTOVAO COLOMBO,2107,VILA VELHA,16,ES,"449,1148",0,6,86,"4156,43",,,
406,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"834,15",0,97,25,"7857,72",,,
407,1343,CARLOS GERMANO NAUMANN,1915,COLATINA,16,ES,"32207,67248",94,35,107,"34397,05",,,
409,18726,OSEIAS ,1937,FUNDAO,16,ES,"4253,7907",0,982,120,"32870,33",,,
411,1585,CASTELANDIA,2091,SERRA,16,ES,"52212,79336",0,63,262,"81824,52",,,
413,1563,CIVIT II,2091,SERRA,16,ES,"15898,2577","426,32",29,578,"158992,56",,,
414,1198,CENTRAL PARQUE,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"1828,9308",0,49,42,"16790,93",,,
415,1537,NOVA CARAPINA I,2091,SERRA,16,ES,"4351,1275",0,8,192,"34995,28",,,
418,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"67,824",0,1743,3,"631,2",,,
420,18740,CUMURUXATIBA,998,PRADO,6,BA,"30774,9342",0,61,127,"48255,1",,,
421,1,CENTRO,998,PRADO,6,BA,"177473,2627","36,99",43,522,"230072,66",,,
422,1394,MUQUICABA,1947,GUARAPARI,16,ES,"8197,8635",0,19,183,"70140,89",,,
425,18622,SAO ROQUINHO,2088,SAO ROQUE DO CANAA,16,ES,"94726,78511","3425,1",5,932,"273674,09",,,
426,1665,BAL PONTA DA FRUTA,2107,VILA VELHA,16,ES,"1325,4259",0,36,69,"16997,25",,,
429,1509,DIVINOPOLIS,2091,SERRA,16,ES,"617,5122",0,1146,71,"3708,15",,,
430,18634,PIACU,2007,MUNIZ FREIRE,16,ES,"83436,25576",0,6,345,"116507,84",,,
431,1535,REIS MAGOS,2091,SERRA,16,ES,"2011,204","416,28",1751,61,"17983,78",,,
432,18704,IRMAOS FERNANDES,1905,BARRA SAO FRANCISCO,16,ES,"44761,7184",0,6,227,"117519,86",,,
433,1523,PQ RESL LARANJEIRAS,2091,SERRA,16,ES,"59563,506",0,1535,76,"40668,3",,,
437,1,CENTRO,753,ITAMARAJU,6,BA,"278097,7615","574,76",5,945,"333222,53",,,
439,1344,SAO SILVANO,1915,COLATINA,16,ES,"34163,66465",0,9,169,"70970,23",,,
440,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"110341,0726","18566,14",6,1549,"864087,26",,,
441,18739,JOAO TOMAZ,1959,IRUPI,16,ES,"104951,6681","224,8",5,352,"226015,35",,,
442,1,CENTRO,1949,IBATIBA,16,ES,"427338,9729","1007,8",1,575,"579585,5",,,
443,884,INDUSTRIAL,732,ITABELA,6,BA,"9038,0486","1810,75",5,141,"50862,36",,,
445,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"655,365",0,391,15,"5489,45",,,
446,1439,CANIVETE,1991,LINHARES,16,ES,"23922,7749",0,55,142,"47150,62",,,
448,1,CENTRO,1933,ECOPORANGA,16,ES,"3931,12127","606,96",9,113,"27390,85",,,
449,1187,CORONEL BORGES,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"202403,2581","1308,56",56,378,"328546,37",,,
450,1,CENTRO,1993,MANTENOPOLIS,16,ES,"66568,73855","233,39",5,210,"139050,69",,,
451,1344,SAO SILVANO,1915,COLATINA,16,ES,"1994,36",0,1546,33,"14748,56",,,
452,1,CENTRO,1874,ALTO RIO NOVO,16,ES,"107447,8102","108,07",35,445,"203676,12",,,
454,1727,NAZARETH,2111,VITORIA,16,ES,"2702,7438","784,8",37,110,"21178,07",,,
456,18840,CAJARANA,397,ALCOBACA,6,BA,"4492,446","1261,76",1633,33,"16616,85",,,
457,1563,CIVIT II,2091,SERRA,16,ES,"2978,4746","113,97",1107,134,"30692,64",,,
459,1724,ITARARE,2111,VITORIA,16,ES,"7122,5739","415,68",394,206,"60319,16",,,
460,1717,REPUBLICA,2111,VITORIA,16,ES,"1673,26","927,75",27,121,"23571,22",,,
461,39,BELA VISTA,1882,ARACRUZ,16,ES,"414,632",0,1847,3,"1088,6",,,
462,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"85546,1939","7825,14",693,1561,"399078,02",,,
463,1563,CIVIT II,2091,SERRA,16,ES,"4140,348",0,883,177,"29897,82",,,
464,1410,ITAPEBUSSU,1947,GUARAPARI,16,ES,"2381,2",0,314,13,"9266,89",,,
466,1588,NOVA ZELANDIA,2091,SERRA,16,ES,"5633,4",0,47,75,"28599,43",,,
467,18629,CONJUNTO PARREIRAL,2091,SERRA,16,ES,"226,46",0,1058,6,"1414,5",,,
469,182,SANTO ANTONIO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"466228,3971","18122,18",1,962,"858695,32",,,
470,1344,SAO SILVANO,1915,COLATINA,16,ES,"41392,2671",0,41,395,"106523,98",,,
471,369,AEROPORTO,1947,GUARAPARI,16,ES,"49182,26341","9113,13",93,333,"221671,96",,,CODBAI: Código do bairro do cliente
472,13346,ITAPARICA,2107,VILA VELHA,16,ES,"15972,3158","119,37",51,167,"130319,3",,,
473,1394,MUQUICABA,1947,GUARAPARI,16,ES,"56470,8379","1864,19",5,345,"178444,76",,,
474,19093,N.S. DA PENHA,2107,VILA VELHA,16,ES,"1389,57",0,44,66,"13369,15",,,
475,18630,NOSSA SENHORA DA PENHA,2107,VILA VELHA,16,ES,"6375,5016","1659,94",14,231,"78428,14",,,
476,1578,VILA NOVA DE COLARES,2091,SERRA,16,ES,"1171,1382",0,9,65,"9399,76",,,
477,1639,COBILANDIA,2107,VILA VELHA,16,ES,"5256,028","199,92",96,199,"53017,26",,,
478,1252,VILA CAPIXABA,1912,CARIACICA,16,ES,"1786,5589","1853,04",35,48,"12891,52",,,
479,1,CENTRO,1905,BARRA SAO FRANCISCO,16,ES,"79,496",0,1853,2,"888,88",,,
480,1624,PRAIA DA COSTA,2107,VILA VELHA,16,ES,"324,8286",0,1212,7,"735,84",,,
481,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"262162,9028","16086,33",5,2241,"2340967,27",,,
484,1651,DARLY SANTOS,2107,VILA VELHA,16,ES,"35094,7211","139,32",29,248,"312289,82",,,
485,1690,JARDIM CAMBURI,2111,VITORIA,16,ES,"8734,0718",0,132,152,"77437,63",,,
486,273,VILA RICA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"36506,5083","123,39",119,142,"51146,67",,,
487,1191,LUIZ TINOCO FONSECA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"234,291","527,6",1461,6,"1506,92",,,
488,1639,COBILANDIA,2107,VILA VELHA,16,ES,"15138,8406","773,96",7,421,"72386,6",,,
489,18632,MORADA DE CAMPO GRANDE,1912,CARIACICA,16,ES,"36103,29717","273,04",22,353,"68498,94",,,
490,1700,GURIGICA,2111,VITORIA,16,ES,"1810,5761","41,6",441,74,"9223,5",,,
491,1718,ILHA DE SANTA MARIA,2111,VITORIA,16,ES,"894,7782",0,1553,23,"7484,84",,,
492,1724,ITARARE,2111,VITORIA,16,ES,"15442,9082","326,63",586,104,"28118,91",,,
493,557,CAMPO GRANDE,1912,CARIACICA,16,ES,"645,9816",0,1576,27,"5706,68",,,
495,1630,SOTECO,2107,VILA VELHA,16,ES,"12430,70778",0,65,48,"13725,91",,,
496,1700,GURIGICA,2111,VITORIA,16,ES,"73,896",0,1813,4,"679,68",,,
498,159,CIDADE NOVA,7059,ITAPERUNA,7,RJ,"63052,6116","5109,19",8,836,"607900,64",,,
499,1658,SANTA MONICA POPULAR,2107,VILA VELHA,16,ES,"18124,8828","471,56",295,265,"52792,72",,,
503,1563,CIVIT II,2091,SERRA,16,ES,"136,718",0,1701,25,"1011,99",,,
504,1588,NOVA ZELANDIA,2091,SERRA,16,ES,"46,11503",0,675,6,"80,98",,,
505,557,CAMPO GRANDE,1912,CARIACICA,16,ES,"3819,9518","320,62",128,49,"41521,67",,,
506,1,CENTRO,994,PORTO SEGURO,6,BA,"153646,543","43,14",370,262,"105692,66",,,
507,1,CENTRO,630,EUNAPOLIS,6,BA,"1771,9758",0,1526,20,"7093,67",,,
508,1392,SETIBA,1947,GUARAPARI,16,ES,"24588,50295",0,21,255,"95344,18",,,
510,1,CENTRO,2008,MUQUI,16,ES,"152839,7578","1068,02",5,672,"285931,15",,,
512,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"3029,843",0,799,79,"34240,53",,,
513,1,CENTRO,1949,IBATIBA,16,ES,"6183,0675",0,1202,31,"13628,98",,,
514,1,CENTRO,1945,GUACUI,16,ES,"178733,1822",0,5,449,"260150,35",,,
515,1,CENTRO,2101,VIANA,16,ES,"22041,08634","1129,84",103,117,"49465,06",,,
517,18692,PONTA DOS CASTELHANO,1876,ANCHIETA,16,ES,"56626,74669",0,107,394,"140642,31",,,
518,1535,REIS MAGOS,2091,SERRA,16,ES,"32678,3189","3209,02",5,608,"290271,88",,,
519,45,NOVO HORIZONTE,2091,SERRA,16,ES,"10385,1723","626,06",6,334,"88598,06",,,
520,1639,COBILANDIA,2107,VILA VELHA,16,ES,"137783,11","238,86",6,428,"1386709,21",,,
523,1578,VILA NOVA DE COLARES,2091,SERRA,16,ES,"346685,6477","1622,04",9,1327,"537949,35",,,
525,1633,JARDIM MARILANDIA,2107,VILA VELHA,16,ES,"2001,9798",0,590,36,"14714,85",,,
527,170,GLORIA,2107,VILA VELHA,16,ES,"25,3745",0,658,3,"129,71",,,
528,1523,PQ RESL LARANJEIRAS,2091,SERRA,16,ES,"16766,8199","839,2",1451,79,"17881,23",,,
529,194,SAO GERALDO,2091,SERRA,16,ES,"7676,6382",0,6,245,"119434,67",,,
530,1398,PORTAL DE GUARAPARI,1947,GUARAPARI,16,ES,"6656,667",0,42,77,"73427,28",,,
531,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,"197,722",0,1048,8,"2121,96",,,
533,1622,VALE ENCANTADO,2107,VILA VELHA,16,ES,"24,28",0,1644,4,"116,7",,,
534,18645,JACARAIPE,2091,SERRA,16,ES,"10103,4671","353,97",27,340,"83651,03",,,
535,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"219,9768",0,1267,6,"1966,08",,,
536,1618,CRISTOVAO COLOMBO,2107,VILA VELHA,16,ES,"32915,92584","233,54",5,340,"87009,69",,,
537,1618,CRISTOVAO COLOMBO,2107,VILA VELHA,16,ES,"297,0472",0,1447,12,"1361,48",,,
539,0,< SEM  BAIRRO >,2100,VENDA NOVA IMIGRANTE,16,ES,"886,27",0,1750,6,"1195,28",,,IDCLI: Identificador do cliente
540,18928,BAIRRO DAS FLORES,2091,SERRA,16,ES,"90,918",0,1121,6,"528,66",,,
542,18775,ESTELITA COELHO MARINS,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"168,9688",0,1531,6,"2002,14",,,
543,18748,VALAO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"1457,7559","67,2",646,56,"9573,36",,,
544,1690,JARDIM CAMBURI,2111,VITORIA,16,ES,"5056,624","228,4",141,60,"31186,34",,,
545,267,OURO BRANCO,1870,ALFREDO CHAVES,16,ES,"30426,8512",0,602,140,"98424,89",,,
546,1,CENTRO,2059,SANTA TERESA,16,ES,"18049,80654",0,714,145,"77946,57",,,
548,1510,FEU ROSA,2091,SERRA,16,ES,"31791,2924","610,71",5,241,"67764,36",,,
549,1451,RIO QUARTEL DE CIMA,1991,LINHARES,16,ES,"538,326",0,1828,3,"767,95",,,
550,1690,JARDIM CAMBURI,2111,VITORIA,16,ES,"3679,08774","364,56",475,53,"7199,16",,,
551,31,JARDIM DE ALAH,1912,CARIACICA,16,ES,2862,0,1442,32,"25972,98",,,
553,1563,CIVIT II,2091,SERRA,16,ES,"190524,2","12987,2",5,391,"1296270,75",,,
554,321,MOISES REIS,630,EUNAPOLIS,6,BA,"73810,1176",0,5,62,"139882,93",,,
556,1180,SAO FRANCISCO  ASSIS,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"123974,1194","3090,81",6,713,"486818,53",,,
558,18956,NOVA ROSA DA PENHA II,1912,CARIACICA,16,ES,"1111,132","315,84",544,38,"10417,59",,,
559,1293,JARDIM CAMPO GRANDE,1912,CARIACICA,16,ES,"4625,6",0,1192,14,"20812,5",,,
560,18635,GUARITAS,2101,VIANA,16,ES,"396,5502",0,357,28,"4420,7",,,
561,9553,MARCILIO DIAS II,1916,CONCEICAO DA BARRA,16,ES,"3457,308",0,687,51,"16950,25",,,
562,1405,NSA SRA DA CONCEICAO,1991,LINHARES,16,ES,"175826,8137","12898,25",15,1101,"726558,41",,,
564,1343,CARLOS GERMANO NAUMANN,1915,COLATINA,16,ES,"15637,9466",0,552,146,"93960,16",,,
565,1457,SERNAMBY,2083,SAO MATEUS,16,ES,"1463,6368",0,1030,21,"7140,75",,,
566,1464,CARAPINA,2091,SERRA,16,ES,"845,8228",0,751,28,"5444,67",,,
567,1533,DAS LARANJEIRAS,2091,SERRA,16,ES,"180125,855","5885,9",5,1973,"849254,92",,,
568,280,VILA NOVA,1915,COLATINA,16,ES,"897,4644",0,953,22,"7469,04",,,
569,18747,JARDIM BOTANICO ,1912,CARIACICA,16,ES,"37278,4728","2132,09",1,323,"83869,38",,,
571,18847,MORADA C GRANDE II  ,1912,CARIACICA,16,ES,"628,218",0,762,15,"3758,78",,,
572,18823,SAO SEBASTIAO DO MEIO ,10077,SANTA MARIA DE JETIBA,16,ES,"3803,8692",0,558,87,"38377,39",,,
573,18645,JACARAIPE,2091,SERRA,16,ES,"29,832",0,1905,2,"393,92",,,
574,1630,SOTECO,2107,VILA VELHA,16,ES,"2270,41162","118,61",569,123,"17391,24",,,
575,557,CAMPO GRANDE,1912,CARIACICA,16,ES,"13178,4396","2361,22",8,144,"107990,36",,,
576,1,CENTRO,1991,LINHARES,16,ES,"2894,0874","1803,94",1374,59,"26874,86",,,
577,1435,INTERLAGOS,2107,VILA VELHA,16,ES,"50,472",0,1813,6,"453,36",,,
579,18664,JOAO DUARTE MANSO,1864,AFONSO CLAUDIO,16,ES,"3783,2166","91,95",1646,22,"13123,25",,,
580,39,BELA VISTA,1127,TEIXEIRA DE FREITAS,6,BA,"8646,3949",0,44,142,"75629,2",,,
581,1,CENTRO,1989,LARANJA DA TERRA,16,ES,"2914,218",0,1790,8,"7220,1",,,
582,798,JARDIM AMERICA,1912,CARIACICA,16,ES,"15206,5764",0,1415,86,"121232,33",,,
583,671,ULISSES GUIMARAES,2107,VILA VELHA,16,ES,"6085,99246",0,1049,19,7492,,,
584,470,NSA SRA DA PENHA,2107,VILA VELHA,16,ES,"9153,74075","348,14",1387,47,"14146,08",,,
585,1533,DAS LARANJEIRAS,2091,SERRA,16,ES,"8953,66269",0,398,48,"14249,32",,,
586,1533,DAS LARANJEIRAS,2091,SERRA,16,ES,"21030,48245","4734,17",35,359,"115450,55",,,
588,1,CENTRO,2094,SOORETAMA,16,ES,"15501,9542","1239,54",15,257,"120074,68",,,
593,557,CAMPO GRANDE,1912,CARIACICA,16,ES,"31007,2282","13582,89",1255,107,"296251,36",,,
594,44,TANCREDO NEVES,556,CARAVELAS,6,BA,"8315,742","399,25",26,163,"37950,43",,,
595,225,SANTA RITA,2107,VILA VELHA,16,ES,"28325,608",0,8,224,"41844,43",,,
599,1613,JARDIM GUARANHUNS,2107,VILA VELHA,16,ES,"2158,1424","413,4",1056,25,"3145,98",,,
603,1346,JOSE DE ANCHIETA,2091,SERRA,16,ES,"197,976",0,1812,7,"1510,84",,,
604,18637,VILA DAS ORQUIDEAS,1995,MARECHAL FLORIANO,16,ES,"2350,5325",0,302,16,"6263,65",,,
605,1537,NOVA CARAPINA I,2091,SERRA,16,ES,"22031,81952","24,66",189,168,"85177,94",,,
610,18638,CID MOREIRA,1945,GUACUI,16,ES,"148530,7749",3753,6,552,"193928,57",,,
611,170,GLORIA,2107,VILA VELHA,16,ES,"87,59","139,46",1693,5,"246,14",,,
612,4046,ZONA RURAL,2059,SANTA TERESA,16,ES,"275,672","128,36",427,11,"2808,83",,,
613,45,NOVO HORIZONTE,1991,LINHARES,16,ES,"4545,9676",0,951,60,"31992,19",,,
614,1211,ALTO NOVO PARQUE,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"70455,03315","617,89",35,398,"149629,85",,,RECENCIA: Número de dias desde a última compra do cliente
615,170,GLORIA,2107,VILA VELHA,16,ES,"11941,4418",0,5,271,"113449,83",,,
617,1,CENTRO,1929,DOMINGOS MARTINS,16,ES,"18153,84872",0,107,107,"23969,72",,,
618,18639,GOYTACAZES,6990,CAMPOS DOS GOYTACAZES,7,RJ,"12963,6843","1766,65",21,268,"163273,82",,,
619,1595,ALTEROSAS,2091,SERRA,16,ES,"1767,2426",0,28,74,"20847,07",,,PESOBRUTO: Peso bruto da compra em gramas
621,1572,PLANALTO DE CARAPINA,2091,SERRA,16,ES,"371,4048",0,1458,23,"3168,98",,,
622,18640,GUARUS,6990,CAMPOS DOS GOYTACAZES,7,RJ,"7713,1108","769,63",49,228,"97999,07",,,
623,1730,BARRO VERMELHO,2111,VITORIA,16,ES,"55052,98671","643,28",22,439,"77322,79",,,
627,1630,SOTECO,2107,VILA VELHA,16,ES,"11685,124",0,51,132,"135438,59",,,
628,1402,PRAIA DO MORRO,1947,GUARAPARI,16,ES,"97,492",0,1114,3,"844,84",,,
629,1307,VALPARAISO,1912,CARIACICA,16,ES,"3089,513",0,37,98,"26693,68",,,
630,1344,SAO SILVANO,1915,COLATINA,16,ES,"3902,0012",0,259,114,"30788,3",,,
631,1,CENTRO,1995,MARECHAL FLORIANO,16,ES,"39175,55193","2083,93",5,186,"75670,52",,,
636,1,CENTRO,1933,ECOPORANGA,16,ES,"114997,436",0,9,339,"140370,48",,,
638,1,CENTRO,1864,AFONSO CLAUDIO,16,ES,"60005,94982",0,13,303,"124538,22",,,
640,1654,GAROTO,2107,VILA VELHA,16,ES,"25,8",0,1826,3,"390,23",,,
641,1514,CASCATA,2091,SERRA,16,ES,"130,986",0,1741,8,"1106,38",,,
642,1614,BARRA DO JUCU,2107,VILA VELHA,16,ES,"1102,2795",0,776,16,"3336,55",,,
645,1351,MARIA ISMENIA,1915,COLATINA,16,ES,"508,9401",0,1503,13,"3440,06",,,
646,369,AEROPORTO,2011,NOVA VENECIA,16,ES,"5728,4476","865,84",876,61,"33002,13",,,NOMEBAI: Nome do bairro do cliente
647,369,AEROPORTO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"50,0808",0,1559,3,"416,64",,,CODCID: Código da cidade do cliente
649,1,CENTRO,2105,VILA PAVAO,16,ES,"28686,66488",0,65,103,"38087,93",,,
650,4100,GRAMA,1864,AFONSO CLAUDIO,16,ES,"73,76",0,1877,2,"748,4",,,
651,45,NOVO HORIZONTE,2091,SERRA,16,ES,"15234,0145","287,05",35,336,"128780,36",,,
652,1,CENTRO,1951,IBIRACU,16,ES,"7309,7903","141,56",5,296,"63517,44",,,
653,1675,BARRAMARES,2107,VILA VELHA,16,ES,"29684,7765","297,86",30,230,"40095,08",,,
654,18768,ILMENITA,1994,MARATAIZES,16,ES,"2382,574","613,2",299,84,"19676,44",,,
655,1,CENTRO,2046,RIO NOVO DO SUL,16,ES,"3184,2932","108,69",8,116,"27388,59",,,
656,18702,RESIDENCIAL CENTRO DA SERRA,2091,SERRA,16,ES,"1057,805","293,84",195,37,"9526,15",,,
657,1,CENTRO,1955,ICONHA,16,ES,"2424,0376",0,1444,16,"6476,1",,,
658,18645,JACARAIPE,2091,SERRA,16,ES,"28137,5298","1119,89",176,253,"81366,33",,,
659,1186,MARBRASA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"3738,8304",0,21,60,"33726,27",,,
660,1569,DIAMANTINA,2091,SERRA,16,ES,"4602,4702","2194,53",1178,89,"35493,04",,,
661,1533,DAS LARANJEIRAS,2091,SERRA,16,ES,"7055,472",0,26,136,"49513,85",,,
663,1,CENTRO,1947,GUARAPARI,16,ES,"2829,1312",0,677,57,"24484,61",,,
669,1558,BOA VISTA II,2091,SERRA,16,ES,"1952,958","471,1",91,74,"23437,51",,,
672,1,CENTRO,2111,VITORIA,16,ES,"1232,944012",0,805,12,"1631,42",,,
673,1343,CARLOS GERMANO NAUMANN,1915,COLATINA,16,ES,888,0,182,14,"5911,67",,,
676,5,SAO FRANCISCO,994,PORTO SEGURO,6,BA,"26694,9092",0,796,37,"28989,26",,,
678,18646,WALDIR FURTADO DE AMORIM,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"71,04",0,1822,1,"616,58",,,
679,1675,BARRAMARES,2107,VILA VELHA,16,ES,"79,948",0,1736,3,"1151,4",,,
680,18735,BARROLANDIA,467,BELMONTE,6,BA,"44305,944","298,45",40,135,"58825,9",,,
681,1,CENTRO,1952,IBITIRAMA,16,ES,"30469,0532","1648,9",7,539,"127964,47",,,
682,1513,SERRA DOURADA II,2091,SERRA,16,ES,"35816,67721","568,47",768,312,"160902,32",,,
683,1,CENTRO,467,BELMONTE,6,BA,"22689,9973","248,6",860,67,"43897,8",,,
684,18647,CENTRO/GUAIU,1042,SANTA CRUZ CABRALIA,6,BA,"42069,46995","1826,08",5,146,"144384,04",,,
685,1,CENTRO,1959,IRUPI,16,ES,"1084,5264",0,1121,30,"8690,04",,,
687,648,JARDIM CARAIPE,1127,TEIXEIRA DE FREITAS,6,BA,"210456,2469","168,74",5,415,"223895,36",,,
690,278,SAO SEBASTIAO,998,PRADO,6,BA,"78704,85706","111,55",26,346,"82553,71",,,
692,36,CONQUISTA,2111,VITORIA,16,ES,"282,0888",0,120,21,"2754,96",,,
693,1,CENTRO,1866,AGUA DOCE DO NORTE,16,ES,"29097,5206",920,21,120,"52800,93",,,
696,18648,ARRAIAL D' AJUDA,994,PORTO SEGURO,6,BA,"56373,41775","1992,54",15,282,"180274,8",,,
700,1157,GUAXINDIBA,1882,ARACRUZ,16,ES,"2901,4103","1341,49",9,115,"22057,51",,,
702,39,BELA VISTA,1882,ARACRUZ,16,ES,"45804,89184",0,16,236,"83610,58",,,
704,1,CENTRO,753,ITAMARAJU,6,BA,"28300,89535","615,96",1393,89,"44519,49",,,
706,310,PITANGA,2091,SERRA,16,ES,"3753,49625",0,14,41,"7319,45",,,
709,786,BONSUCESSO,2083,SAO MATEUS,16,ES,"3799,534",0,1801,10,"7020,97",,,
710,650,SAO LOURENCO,1127,TEIXEIRA DE FREITAS,6,BA,"857,52",0,1710,4,"3813,6",,,
712,18704,IRMAOS FERNANDES,1905,BARRA SAO FRANCISCO,16,ES,"2531,116",0,1675,8,"8986,34",,,
713,225,SANTA RITA,1127,TEIXEIRA DE FREITAS,6,BA,"107906,4643","833,1",5,512,"500575,55",,,
714,18617,FILOMENA,2011,NOVA VENECIA,16,ES,"1079,0648",0,19,61,"12344,43",,,
715,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,"1001,5",0,1805,3,300,,,
716,1588,NOVA ZELANDIA,2091,SERRA,16,ES,683,0,1727,7,5580,,,
723,4046,ZONA RURAL,1995,MARECHAL FLORIANO,16,ES,"1216,6367",0,100,50,"13577,51",,,
724,1558,BOA VISTA II,2091,SERRA,16,ES,"38110,9682",19250,42,124,"313856,48",,,
726,1564,VISTA DA SERRA II,2091,SERRA,16,ES,"66023,4175","15992,07",6,424,"560513,95",,,
727,100,SANTA LUCIA,2111,VITORIA,16,ES,"220,008",0,1792,6,"1962,18",,,
730,369,AEROPORTO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,"123380,8797","63,2",21,508,"201937,01",,,NOMECID: Nome da cidade do cliente
731,1,CENTRO,1042,SANTA CRUZ CABRALIA,6,BA,"47886,6181",0,1136,161,"126600,91",,,
733,1525,JARDIM DA SERRA,2091,SERRA,16,ES,"3372,9633",0,26,234,"47345,52",,,
734,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,"2484,516",0,516,31,"16903,49",,,
735,1698,PARQUE MOSCOSO,2111,VITORIA,16,ES,"48,56",0,1905,8,"289,3",,,
737,1572,PLANALTO DE CARAPINA,2091,SERRA,16,ES,"207,6576",0,1570,8,"1765,37",,,
738,18651,DISTRITO SAO JOSE DE FRUTEIRAS,2098,VARGEM ALTA,16,ES,"3185,4508",0,43,63,"16360,56",,,
739,18630,NOSSA SENHORA DA PENHA,2107,VILA VELHA,16,ES,"590,6401054",0,1364,9,"1768,9",,,
740,18627,SEDE,904,MUCURI,6,BA,"5023,7949",0,433,19,"7163,66",,,
742,18618,SANTO ANTONIO DO CANAA,2059,SANTA TERESA,16,ES,"149,04",0,1541,4,"1280,88",,,
743,8911,PORTO DA PEDRA,7173,SAO GONCALO,7,RJ,"176,028",0,1815,6,"2093,81",,,
