IDCLI,CODBAI,NOMEBAI,CODCID,NOMECID,CODUF,UF,PESOBRUTO,DEVOLUCAO,RECENCIA,FREQUENCIA,MONETARY
199,39,BELA VISTA,1882,ARACRUZ,16,ES,2168,"R$ 0,00",519,32,"R$ 18.967,54"
200,1563,CIVIT II,2091,SERRA,16,ES,4893,"R$ 0,00",873,79,"R$ 32.403,27"
201,1521,CHACARA PARREIRAL,2091,SERRA,16,ES,3026,"R$ 731,07",77,127,"R$ 28.566,20"
203,1,CENTRO,3418,LAJINHA,2,MG,169157,"R$ 11.776,48",5,599,"R$ 444.602,88"
206,1,CENTRO,556,CARAVELAS,6,BA,54888,"R$ 18,94",19,327,"R$ 118.746,69"
209,1,CENTRO,1970,ITAPEMIRIM,16,ES,31140,"R$ 1.952,28",16,301,"R$ 89.604,51"
210,18802,LUIS EDUARDO MAGALHAES,998,PRADO,6,BA,20512,"R$ 0,00",6,95,"R$ 71.479,25"
211,1718,ILHA DE SANTA MARIA,2111,VITORIA,16,ES,958,"R$ 293,51",1217,13,"R$ 3.598,97"
212,319,TRANCOSO,994,PORTO SEGURO,6,BA,55930,"R$ 0,00",5,343,"R$ 80.977,20"
213,1724,ITARARE,2111,VITORIA,16,ES,308,"R$ 0,00",1374,16,"R$ 2.954,08"
214,223,SANTA INES,2107,VILA VELHA,16,ES,91277,"R$ 65.671,32",6,816,"R$ 997.868,97"
215,18619,NOVA COREIA,556,CARAVELAS,6,BA,415,"R$ 0,00",735,5,"R$ 1.893,66"
218,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,12609,"R$ 5.988,00",750,80,"R$ 96.203,04"
222,18623,BACAXA,7191,SAQUAREMA,7,RJ,13502,"R$ 0,00",22,123,"R$ 93.199,85"
223,1487,RIO PRETO DA BR,2083,SAO MATEUS,16,ES,718,"R$ 0,00",1727,15,"R$ 7.102,71"
225,18829,DISTRITO ITAIMBE ,1963,ITAGUACU,16,ES,503,"R$ 0,00",1386,9,"R$ 4.096,78"
226,1613,JARDIM GUARANHUNS,2107,VILA VELHA,16,ES,4718,"R$ 0,00",537,75,"R$ 34.952,38"
227,1464,CARAPINA,2091,SERRA,16,ES,3000,"R$ 0,00",176,36,"R$ 9.424,44"
228,1249,SANTANA,1912,CARIACICA,16,ES,2356,"R$ 0,00",96,78,"R$ 20.936,33"
229,1,CENTRO,904,MUCURI,6,BA,197317,"R$ 1.260,23",5,595,"R$ 247.719,54"
230,18779,CENTRO SEDE,904,MUCURI,6,BA,59172,"R$ 216,22",5,213,"R$ 74.117,58"
231,18682,SOIDO,1929,DOMINGOS MARTINS,16,ES,6495,"R$ 0,00",98,55,"R$ 23.949,26"
233,18686,MOACIR AVIDOS,1942,GOV LINDENBERG,16,ES,5388,"R$ 1.388,97",44,166,"R$ 63.408,25"
234,1150,MOROBA,1882,ARACRUZ,16,ES,3829,"R$ 0,00",838,57,"R$ 26.056,24"
235,1703,JOANA DARC,2111,VITORIA,16,ES,1040,"R$ 0,00",1807,5,"R$ 615,00"
236,65,PLANALTO,2107,VILA VELHA,16,ES,42739,"R$ 0,00",5,319,"R$ 339.635,75"
237,194,SAO GERALDO,2091,SERRA,16,ES,4195,"R$ 0,00",695,83,"R$ 10.014,81"
239,1,CENTRO,1993,MANTENOPOLIS,16,ES,16520,"R$ 0,00",404,35,"R$ 13.815,20"
241,12197,MORADA SANTA FE,1912,CARIACICA,16,ES,1216,"R$ 0,00",686,21,"R$ 7.626,15"
243,654,ALAGOAS,1127,TEIXEIRA DE FREITAS,6,BA,34797,"R$ 0,00",19,406,"R$ 166.855,70"
245,5464,QUILOMBO,1977,IUNA,16,ES,18088,"R$ 2.782,34",13,171,"R$ 46.162,90"
249,291,POLO PETROQUIMICO,526,CAMACARI,6,BA,32983,"R$ 16.648,20",13,146,"R$ 418.539,22"
250,1,CENTRO,2001,MONTANHA,16,ES,296,"R$ 0,00",1646,9,"R$ 1.093,72"
253,1,CENTRO,7168,STO ANTONIO DE PADUA,7,RJ,7566,"R$ 784,31",1055,57,"R$ 66.394,02"
254,45,NOVO HORIZONTE,2091,SERRA,16,ES,5536,"R$ 0,00",1498,27,"R$ 9.336,35"
255,18713,JARDIM BALNEARIO ELZ ,1994,MARATAIZES,16,ES,21949,"R$ 2.469,92",16,157,"R$ 58.795,45"
256,1626,PRAIA DE ITAPARICA,2107,VILA VELHA,16,ES,25,"R$ 0,00",1111,3,"R$ 84,00"
257,1,CENTRO,904,MUCURI,6,BA,32729,"R$ 200,74",5,181,"R$ 36.265,02"
258,18625,DISTRITO ITAOCA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,4981,"R$ 0,00",572,1358,"R$ 48.380,00"
259,241,BRASIL NOVO,1949,IBATIBA,16,ES,1370,"R$ 0,00",1651,12,"R$ 5.872,90"
262,1418,OLARIA,9383,MEDEIROS NETO,6,BA,51729,"R$ 339,62",391,155,"R$ 43.169,35"
266,1,CENTRO,10077,SANTA MARIA DE JETIBA,16,ES,1269,"R$ 0,00",1349,15,"R$ 2.693,88"
267,1,CENTRO,1970,ITAPEMIRIM,16,ES,10825,"R$ 0,00",56,237,"R$ 88.276,47"
268,18849,DIST VARGEM GRANDE DE SOTURNO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,6290,"R$ 0,00",1513,36,"R$ 9.889,88"
269,1268,AREINHA,2101,VIANA,16,ES,59037,"R$ 172,49",42,299,"R$ 87.235,95"
270,18733,GIOVANI BREDA ,1870,ALFREDO CHAVES,16,ES,6435,"R$ 0,00",602,127,"R$ 30.908,13"
271,1702,ROMAO,2111,VITORIA,16,ES,987,"R$ 0,00",896,6,"R$ 799,90"
273,1510,FEU ROSA,2091,SERRA,16,ES,18699,"R$ 986,70",216,211,"R$ 47.568,00"
276,18739,JOAO TOMAZ,1959,IRUPI,16,ES,1539,"R$ 430,85",414,57,"R$ 17.451,82"
277,1,CENTRO,1931,DORES DO RIO PRETO,16,ES,4162,"R$ 284,20",1568,28,"R$ 7.087,68"
278,185,SANTO AGOSTINHO,1913,CASTELO,16,ES,4191,"R$ 715,08",134,113,"R$ 42.527,44"
279,1,CENTRO,2000,MIMOSO DO SUL,16,ES,9922,"R$ 0,00",1009,50,"R$ 22.411,42"
280,170,GLORIA,2107,VILA VELHA,16,ES,738,"R$ 0,00",744,39,"R$ 4.678,27"
282,1558,BOA VISTA II,2091,SERRA,16,ES,4286,"R$ 8,42",20,146,"R$ 34.514,03"
283,5464,QUILOMBO,1977,IUNA,16,ES,126175,"R$ 4.977,21",5,668,"R$ 274.704,14"
284,45,NOVO HORIZONTE,2091,SERRA,16,ES,1033,"R$ 0,00",1664,9,"R$ 5.112,75"
285,1,CENTRO,2000,MIMOSO DO SUL,16,ES,30370,"R$ 237,78",21,311,"R$ 98.476,76"
287,1255,ITAQUARI,1912,CARIACICA,16,ES,175628,"R$ 913,02",35,357,"R$ 223.311,51"
288,1464,CARAPINA,2091,SERRA,16,ES,33677,"R$ 1.297,86",35,239,"R$ 45.991,34"
289,18731,TARCISIO MIRANDA ,6990,CAMPOS DOS GOYTACAZES,7,RJ,2045,"R$ 0,00",112,54,"R$ 25.102,81"
291,1244,NOVO BRASIL,1912,CARIACICA,16,ES,53,"R$ 0,00",1864,2,"R$ 515,96"
292,1189,AGOSTINHO SIMONATO,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,15652,"R$ 0,00",250,49,"R$ 99.466,53"
293,1611,TAQUARA II,2091,SERRA,16,ES,7040,"R$ 42,99",16,169,"R$ 32.022,73"
294,1,CENTRO,1985,JOAO NEIVA,16,ES,2431,"R$ 0,00",1407,35,"R$ 24.343,00"
296,1,CENTRO,2101,VIANA,16,ES,182,"R$ 0,00",876,9,"R$ 1.646,04"
297,1632,DIVINO ESPIRITO STO ,2107,VILA VELHA,16,ES,2036,"R$ 0,00",1143,51,"R$ 8.008,66"
298,1652,NOVA ITAPARICA,2107,VILA VELHA,16,ES,1048,"R$ 0,00",883,6,"R$ 1.047,26"
300,8925,ITAOCA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,145,"R$ 0,00",1167,6,"R$ 1.306,32"
301,159,CIDADE NOVA,1994,MARATAIZES,16,ES,2872,"R$ 0,00",475,125,"R$ 25.775,77"
302,28,FLORESTA,1949,IBATIBA,16,ES,18912,"R$ 0,00",1048,132,"R$ 58.315,60"
303,0,< SEM  BAIRRO >,2081,SAO JOSE DO CALCADO,16,ES,6782,"R$ 0,00",1650,31,"R$ 17.192,06"
306,170,GLORIA,2107,VILA VELHA,16,ES,482,"R$ 0,00",261,130,"R$ 1.633,23"
307,170,GLORIA,2107,VILA VELHA,16,ES,524,"R$ 48,12",1035,84,"R$ 957,84"
309,18617,FILOMENA,2011,NOVA VENECIA,16,ES,673,"R$ 0,00",1603,39,"R$ 1.171,70"
310,5853,SOUZA,2758,ALVINOPOLIS,2,MG,362,"R$ 0,00",1898,2,"R$ 2.068,20"
312,798,JARDIM AMERICA,1904,CACHOEIRO DE ITAPEMIRIM,16,ES,123,"R$ 0,00",106,99,"R$ 664,63"
313,557,CAMPO GRANDE,1912,CARIACICA,16,ES,6523,"R$ 720,48",418,337,"R$ 49.787,48"
315,208,SAO JOSE,1991,LINHARES,16,ES,657,"R$ 0,00",1107,103,"R$ 1.412,00"
316,1724,ITARARE,2111,VITORIA,16,ES,2,"R$ 0,00",1674,65,"R$ 30,24"
317,1579,ESTANCIA MONAZITICA,2091,SERRA,16,ES,570,"R$ 0,00",649,107,"R$ 2.123,74"
323,1505,JARDIM LIMOEIRO,2091,SERRA,16,ES,6446,"R$ 0,00",211,131,"R$ 53.910,41"
324,1,CENTRO,1945,GUACUI,16,ES,26520,"R$ 862,86",107,67,"R$ 29.029,96"
325,752,BARRO BRANCO,2091,SERRA,16,ES,5613,"R$ 76,68",350,73,"R$ 14.323,82"
326,1675,BARRAMARES,2107,VILA VELHA,16,ES,681,"R$ 0,00",476,43,"R$ 6.323,78"
327,18784,JACIGUA ,2098,VARGEM ALTA,16,ES,45291,"R$ 2.227,88",13,449,"R$ 155.752,08"
328,18801,PRAIA DE ITAOCA,1970,ITAPEMIRIM,16,ES,381,"R$ 0,00",831,7,"R$ 1.451,60"
329,1,CENTRO,1945,GUACUI,16,ES,24539,"R$ 658,46",35,62,"R$ 16.516,26"
330,1228,SAO VICENTE,1864,AFONSO CLAUDIO,16,ES,16323,"R$ 0,00",1050,48,"R$ 17.317,08"
331,1,CENTRO,2011,NOVA VENECIA,16,ES,5304,"R$ 0,00",35,15,"R$ 4.210,29"
332,18852,ILHA DO COCO,1955,ICONHA,16,ES,1685,"R$ 0,00",119,87,"R$ 15.786,54"
333,1,CENTRO,2081,SAO JOSE DO CALCADO,16,ES,10761,"R$ 0,00",56,132,"R$ 58.732,06"
